Timestamp,Event
2025-06-05 22:21:20.786823,Too Close (Distance Alert)
2025-06-05 22:21:20.809343,Too Close (Distance Alert)
2025-06-05 22:21:20.826580,Too Close (Distance Alert)
2025-06-05 22:21:20.856729,Too Close (Distance Alert)
2025-06-05 22:21:20.889309,Too Close (Distance Alert)
2025-06-05 22:21:20.919639,Too Close (Distance Alert)
2025-06-05 22:21:20.953942,Too Close (Distance Alert)
2025-06-05 22:21:21.073549,Too Close (Distance Alert)
2025-06-05 22:21:21.091055,Too Close (Distance Alert)
2025-06-05 22:21:21.188620,Too Close (Distance Alert)
2025-06-05 22:21:21.216315,Too Close (Distance Alert)
2025-06-05 22:21:21.234130,Too Close (Distance Alert)
2025-06-05 22:21:21.283133,Too Close (Distance Alert)
2025-06-05 22:21:21.313504,Too Close (Distance Alert)
2025-06-05 22:21:21.345485,Too Close (Distance Alert)
2025-06-05 22:21:21.373037,Too Close (Distance Alert)
2025-06-05 22:21:21.474232,Too Close (Distance Alert)
2025-06-05 22:21:21.493200,Too Close (Distance Alert)
2025-06-05 22:21:22.768095,Too Close (Distance Alert)
2025-06-05 22:21:22.793279,Too Close (Distance Alert)
2025-06-05 22:21:22.809191,Too Close (Distance Alert)
2025-06-05 22:21:22.881941,Too Close (Distance Alert)
2025-06-05 22:21:22.908698,Too Close (Distance Alert)
2025-06-05 22:21:22.937052,Too Close (Distance Alert)
2025-06-05 22:21:22.965549,Too Close (Distance Alert)
2025-06-05 22:21:22.997750,Too Close (Distance Alert)
2025-06-05 22:21:23.030054,Too Close (Distance Alert)
2025-06-05 22:21:23.058673,Too Close (Distance Alert)
2025-06-05 22:21:23.075194,Too Close (Distance Alert)
2025-06-05 22:21:23.110131,Too Close (Distance Alert)
2025-06-05 22:21:23.682653,Too Close (Distance Alert)
2025-06-05 22:21:23.711199,Too Close (Distance Alert)
2025-06-05 22:21:23.741163,Too Close (Distance Alert)
2025-06-05 22:21:23.760637,Too Close (Distance Alert)
2025-06-05 22:21:23.968315,Too Close (Distance Alert)
2025-06-05 22:21:23.989904,Too Close (Distance Alert)
2025-06-05 22:21:24.080148,Too Close (Distance Alert)
2025-06-05 22:21:24.099112,Too Close (Distance Alert)
2025-06-05 22:21:24.126354,Too Close (Distance Alert)
2025-06-05 22:21:24.142931,Too Close (Distance Alert)
2025-06-05 22:21:24.577418,Too Close (Distance Alert)
